fecha,PBI
2001,1941.475342
2002,2021.240038
2003,2145.643889
2004,2417.034363
2005,2729.499172
2006,3154.331349
2007,3606.070689
2008,4220.616378
2009,4196.311627
2010,5082.353706
2011,5869.323882
2012,6528.971775
2013,6756.752996
2014,6672.877373
2015,6229.100674
2016,6204.996457
2017,6710.507602
2018,6957.793411
2019,7027.612207
2020,6126.87454
